"n","gamma","n_ok","bias_wsga"
600,0,1000,0.044847673992606
1500,0,1000,0.0250034174889167
600,0.25,1000,0.294847673992606
1500,0.25,1000,0.275003417488917
600,0.5,1000,0.544847673992606
1500,0.5,1000,0.525003417488917
600,1,1000,1.04484767399261
1500,1,1000,1.02500341748892
600,2,1000,2.04484767399261
1500,2,1000,2.02500341748892
