"n","delta","beta_M","n_ok","bias_naive","rmse_naive","rej_naive","bias_wsga","rmse_wsga","rej_wsga"
300,0,0,1000,0.0054297371371268,0.33290764659655,1,0.00516581275992722,0.334051839241296,1
600,0,0,1000,-0.00447272726026604,0.223955148452469,1,-0.00497890317786864,0.224816843025896,1
1500,0,0,1000,-0.0103589297463265,0.147448443636066,1,-0.0100620697618168,0.147555944701307,1
300,0.5,0,1000,0.0054297371371268,0.33290764659655,1,0.00358292318638886,0.350030704607981,1
600,0.5,0,1000,-0.00447272726026604,0.223955148452469,1,-0.00472410808418489,0.23475024536377,1
1500,0.5,0,1000,-0.0103589297463265,0.147448443636066,1,-0.00968202198146018,0.152325049497115,1
300,1,0,1000,0.0054297371371268,0.33290764659655,1,0.0018665935785247,0.391236605948697,0.998
600,1,0,1000,-0.00447272726026604,0.223955148452469,1,-0.00162000229661818,0.27149979754905,1
1500,1,0,1000,-0.0103589297463265,0.147448443636066,1,-0.00911144975801514,0.172585491504157,1
300,2,0,1000,0.0054297371371268,0.33290764659655,1,-0.00245428418645033,0.496677565438855,0.989
600,2,0,1000,-0.00447272726026604,0.223955148452469,1,0.00995648668769356,0.406180134049471,0.996
1500,2,0,1000,-0.0103589297463265,0.147448443636066,1,-0.00944740949058143,0.295030525110286,0.999
300,0,0.3,1000,0.00374460461462878,0.359500928374369,1,0.0046771267696113,0.35853713339476,1
600,0,0.3,1000,0.000880496211844939,0.247020432590223,1,-0.000748814798128494,0.246512666836234,1
1500,0,0.3,1000,-0.012010572919317,0.158048362646312,1,-0.0116416112730835,0.156756077499624,1
300,0.5,0.3,1000,0.153744604614629,0.390978642493963,1,0.0126452979623091,0.378654004645718,0.999
600,0.5,0.3,1000,0.150880496211845,0.28945335199409,1,0.0038054157121703,0.260043642770386,1
1500,0.5,0.3,1000,0.137989427080683,0.209466257567621,1,-0.0099330569835121,0.164870551648249,1
300,1,0.3,1000,0.303744604614629,0.47062477651608,1,0.0351157019230519,0.435521857514693,0.997
600,1,0.3,1000,0.300880496211845,0.389290883330406,1,0.0197611751799687,0.310398350458526,1
1500,1,0.3,1000,0.287989427080683,0.328287893751186,1,-0.00522238112636053,0.200078002332659,1
300,2,0.3,1000,0.603744604614628,0.702662396204313,1,0.20116181406551,0.621160619623524,0.963
600,2,0.3,1000,0.600880496211845,0.649673525373533,1,0.157644861110677,0.519721396244075,0.98
1500,2,0.3,1000,0.587989427080683,0.608741815084195,1,0.0714489074421367,0.398260458696675,0.991
300,0,0.5,1000,0.00262118293296298,0.403736818147885,0.997,0.00435133610940053,0.39904261448153,0.999
600,0,0.5,1000,0.00444931185991848,0.282273150048703,1,0.00207124412169835,0.278101255480006,1
1500,0,0.5,1000,-0.0131116683679771,0.176780894974622,1,-0.0126946389472615,0.173720308734545,1
300,0.5,0.5,1000,0.252621182932963,0.476249944666307,1,0.0186868811462562,0.426300124747301,0.996
600,0.5,0.5,1000,0.254449311859918,0.380003667309115,1,0.00949176490974013,0.297712171647421,1
1500,0.5,0.5,1000,0.236888331632023,0.295289096723939,1,-0.0101004136515466,0.18687746310323,1
300,1,0.5,1000,0.502621182932963,0.644689538662713,1,0.0572817741527367,0.508181646495638,0.968
600,1,0.5,1000,0.504449311859918,0.578037579313262,1,0.0340152934976934,0.371265602980338,0.998
1500,1,0.5,1000,0.486888331632023,0.5178221861412,1,-0.00262966870525738,0.24216938899979,1
300,2,0.5,1000,1.00262118293296,1.08085419192142,1,0.336905879566817,0.800358239827678,0.924
600,2,0.5,1000,1.00444931185992,1.04334881749023,1,0.256103777392665,0.68278073033596,0.945
1500,2,0.5,1000,0.986888331632023,1.00251092168219,1,0.125379785397282,0.533043450880837,0.965
